cz,czname,state_id,pop2000,s_rank,e_rank_b,prob_p1_k5,bowl90,mergebowlingalleys,bowl_per_capita
100,Johnson City,Tennessee,576081,.37169999,38.387501,.06219881,10,matched (3),.1735867
200,Morristown,Tennessee,227816,.35611001,37.776752,.05365194,3,matched (3),.13168521
301,Middlesborough,Tennessee,66708,.37557,39.049252,.072635137,2,matched (3),.29981411
302,Knoxville,Tennessee,727600,.37253001,37.841248,.056281213,9,matched (3),.12369434
401,Winston-Salem,North Carolina,493180,.38913,36.96925,.044800792,5,matched (3),.10138286
402,Martinsville,Virginia,92753,.42256999,37.29525,.051835854,2,matched (3),.21562645
500,Greensboro,North Carolina,1055133,.39521,36.477249,.047396939,13,matched (3),.12320722
601,North Wilkesboro,North Carolina,90016,.38885999,38.344498,.051663127,1,matched (3),.11109136
602,Galax,Virginia,64676,.41348001,40.813,.079569891,1,matched (3),.15461686
700,Spartanburg,South Carolina,354533,.40439999,36.405998,.04311119,4,matched (3),.11282448
800,Gastonia,North Carolina,413331,.41628999,35.43425,.051527306,5,matched (3),.12096842
900,Charlotte,North Carolina,1423942,.39704001,35.834999,.043785237,10,matched (3),.070227578
1002,Morganton,North Carolina,164760,.37279001,37.550751,.054446463,3,matched (3),.18208303
1100,Hickory,North Carolina,375363,.41510001,35.556499,.04496967,4,matched (3),.10656352
1201,Franklin,North Carolina,44861,.33776,41.237999,.056661561,1,matched (3),.22291076
1203,Asheville,North Carolina,398505,.31935999,39.013,.063380279,7,matched (3),.17565651
1204,Andrews,North Carolina,59681,.30434999,40.832748,.080481037,1,matched (3),.16755751
1302,Florence,South Carolina,548986,.39379999,35.914001,.0356782,7,matched (3),.12750781
1400,Fayetteville,North Carolina,644101,.37436,34.774998,.038247012,7,matched (3),.10867861
1500,Wilmington,North Carolina,361559,.34638,35.862499,.041803397,4,matched (3),.11063201
1600,Wilson,North Carolina,216840,.43130001,35.038502,.031958379,3,matched (3),.13835086
1701,Raleigh,North Carolina,1412127,.38949001,36.932251,.049986634,13,matched (3),.092059709
1800,Goldsboro,North Carolina,222553,.39567,37.619751,.045354951,2,matched (3),.089866236
1900,Jacksonville,North Carolina,536909,.38275,37.207748,.04700724,8,matched (3),.14900105
2000,Virginia Beach,Virginia,1119468,.38389,37.92725,.053550944,17,matched (3),.15185785
2100,Washington,North Carolina,124216,.37628999,37.506248,.049788479,3,matched (3),.24151479
2200,South Boston,Virginia,158234,.43979999,37.988998,.049048752,1,matched (3),.063197546
2300,Lynchburg,Virginia,228616,.3969,39.2425,.067359142,2,matched (3),.087482944
2400,Richmond,Virginia,1040192,.40042999,37.87175,.054764673,17,matched (3),.16343136
2500,Newport News,Virginia,570854,.39982,38.052502,.051365763,9,matched (3),.15765853
2600,Roanoke Rapids,North Carolina,139055,.46087,35.58675,.032752901,2,matched (3),.14382797
2700,Gulfport,Mississippi,458674,.34167999,39.334,.067107029,4,matched (3),.087207906
2800,Laurel,Mississippi,120505,.43610999,40.06675,.069207057,2,matched (3),.16596822
2900,Hattiesburg,Mississippi,157181,.38949001,39.391251,.060510889,2,matched (3),.12724183
3001,Kosciusko,Mississippi,41270,.48800999,37.347248,.035489667,1,matched (3),.24230675
3003,Jackson,Mississippi,546560,.41993999,36.372501,.037534047,4,matched (3),.073185012
3202,Natchez,Mississippi,69653,.43726,38.773499,.048746027,1,matched (3),.14356883
3203,Vicksburg,Mississippi,84943,.41933,35.331249,.031178208,2,matched (3),.23545201
3300,New Orleans,Louisiana,1381652,.39679,38.179749,.051212866,17,matched (3),.12304112
3400,Houma,Louisiana,271365,.40068001,43.973999,.11346915,6,matched (3),.22110441
3500,Baton Rouge,Louisiana,806561,.40549999,39.294502,.060396895,5,matched (3),.061991591
3600,Alexandria,Louisiana,186516,.40415999,40.066998,.067212842,2,matched (3),.1072294
3700,Lake Charles,Louisiana,335960,.33976999,42.560249,.09711846,4,matched (3),.11906179
3800,Lafayette,Louisiana,548154,.38124001,43.189003,.095053539,3,matched (3),.054729145
3901,Monroe,Louisiana,253878,.41474,37.8895,.055185098,2,matched (3),.078777999
4001,Magnolia,Arkansas,34162,.41896999,38.562248,.060388945,1,matched (3),.29272291
4002,Shreveport,Louisiana,499101,.43503001,38.13575,.052718505,3,matched (3),.060108073
4101,Crossett,Arkansas,24209,.38687,38.567749,.041538462,1,matched (3),.41306952
4200,Little Rock,Arkansas,630854,.39308,37.990002,.053561717,5,matched (3),.079257645
4302,Searcy,Arkansas,94324,.37224001,41.313,.089104541,1,matched (3),.10601756
4401,London,Kentucky,144931,.35721999,39.095497,.063895307,3,matched (3),.20699506
4402,Richmond,Kentucky,116256,.34829,38.853249,.059086841,1,matched (3),.086017065
4502,Hazard,Kentucky,117919,.2744,42.679001,.13065937,3,matched (3),.25441194
4601,Campbellsville,Kentucky,83451,.33136001,41.917,.071428575,2,matched (3),.2396616
4602,Somerset,Kentucky,123981,.39792001,39.055,.06271451,2,matched (3),.16131504
4702,Clarksdale,Mississippi,141711,.47959,34.24675,.027132504,1,matched (3),.070566155
4800,Greenville,Mississippi,146833,.47114,33.6105,.02210159,1,matched (3),.06810458
4901,Jackson,Tennessee,198166,.39669001,37.32325,.047488127,2,matched (3),.10092549
4902,Dyersburg,Tennessee,92131,.45120999,36.499249,.043111529,1,matched (3),.1085411
4903,Lexington,Tennessee,44884,.36184999,40.994251,.081659973,1,matched (3),.22279654
5000,Tupelo,Mississippi,197774,.42111,37.740753,.043573417,1,matched (3),.050562762
5100,Corinth,Mississippi,129508,.38925001,39.048252,.06576325,1,matched (3),.077215306
5201,New Albany,Mississippi,54214,.42625999,39.295502,.054625552,1,matched (3),.1844542
5202,Memphis,Tennessee,1154338,.41648999,33.74725,.028182739,8,matched (3),.069303788
5300,West Memphis,Arkansas,138746,.4375,35.218498,.032014072,2,matched (3),.14414831
5401,Bowling Green,Kentucky,164944,.35468999,40.352249,.064267352,3,matched (3),.18187991
5500,Columbia,Tennessee,159374,.30425,39.436253,.057019267,3,matched (3),.18823647
5600,Nashville,Tennessee,1246338,.35681,38.202251,.057263449,18,matched (3),.1444231
5700,Tullahoma,Tennessee,130610,.37467,39.182747,.061447427,1,matched (3),.076563813
5800,Dickson,Tennessee,138212,.36409,39.722248,.071536146,2,matched (3),.14470524
5900,Clarksville,Tennessee,252059,.34193999,39.189503,.059968848,4,matched (3),.158693
6000,Huntsville,Alabama,519583,.36263001,38.46875,.056676153,3,matched (3),.05773861
6100,Gadsden,Alabama,304068,.36822,41.170498,.071056664,9,matched (3),.29598641
6200,Florence,Alabama,230941,.36069,41.467251,.071067154,2,matched (3),.086602204
6301,McMinnville,Tennessee,84309,.36504,39.343998,.057225432,3,matched (3),.35583389
6302,Cookeville,Tennessee,98362,.30739999,41.245998,.072028808,1,matched (3),.10166528
