age_at_entry,gradin4,english,male,left_school,hsgrade_pct,GPA
19,0,1,0,0,94,3.74
18,1,1,1,0,65,2.05
18,0,1,1,1,39,2.28
19,1,1,0,0,72,3.8799999
18,1,0,1,0,22,3.3299999
19,0,1,1,0,12,.84000003
19,1,1,0,0,97,3.76
20,0,0,0,0,35,2.4000001
19,0,0,0,0,81,3.02
19,0,0,1,0,41,2.8299999
17,0,1,0,0,15,3.2
20,1,1,1,0,5,2.8799999
19,0,1,0,0,27,1.78
18,1,0,1,0,75,3.8999999
18,0,1,0,0,66,3.1399999
18,0,1,0,0,35,2.8599999
19,0,0,1,0,9,.88
19,1,1,0,0,83,3.3399999
19,1,0,1,0,43,2.3699999
19,0,1,1,0,70,3.0999999
19,1,1,0,0,22,3.01
19,1,1,0,0,28,3
18,1,1,0,1,83,2.8199999
19,1,1,0,0,38,2.3199999
19,1,1,1,0,50,2.76
19,0,0,0,0,93,3.3899999
18,0,0,0,0,70,3.9399998
19,1,0,1,0,78,3.99
19,0,0,1,0,2,2.8899999
19,1,1,0,0,81,2.5
19,1,1,0,0,12,2.22
19,1,0,1,0,90,3.5899999
19,0,1,1,0,21,2.0999999
19,1,1,0,0,11,1.1800001
19,0,1,1,0,30,1.78
18,1,1,0,0,75,2.8399999
19,0,1,0,0,50,1.21
19,0,0,1,0,66,1.78
20,1,1,1,0,4,2.75
19,0,1,0,0,5,2.3499999
19,0,1,1,0,22,2.1400001
18,1,1,0,0,68,3.3
19,1,1,0,0,48,3.22
19,0,1,1,0,35,1.98
19,1,1,0,0,82,3.46
19,0,0,1,0,46,1.26
19,0,0,0,0,12,1.98
19,1,1,1,0,91,3.4200001
19,1,1,1,0,43,2.78
19,0,1,0,0,49,1.62
19,1,1,0,0,16,1.34
19,0,1,0,0,88,2.96
19,1,1,0,0,60,2.28
18,0,1,0,0,25,1.45
18,0,1,0,0,46,1.72
19,1,1,0,0,26,1.96
18,0,1,0,0,70,1.87
19,1,0,1,0,17,3.1499999
19,1,1,0,0,23,1.02
19,1,1,1,0,16,2.8
19,0,1,1,0,8,1.1800001
19,1,1,0,0,63,2.96
19,1,1,0,0,31,3.3
18,1,1,1,0,87,3.6399999
18,1,0,1,0,55,2.73
19,0,0,1,0,89,3.3399999
18,0,1,0,0,61,3.04
19,0,1,0,0,57,3.1800001
19,1,1,1,0,3,1.66
19,1,0,1,0,22,2.74
19,0,1,0,0,84,1.34
19,0,1,1,0,19,1.7
19,0,1,0,0,82,3.48
18,0,1,0,0,88,2.4200001
18,1,1,0,0,28,2.5799999
18,1,1,0,0,13,2.0599999
18,0,0,0,0,25,3.1099999
19,1,0,0,0,35,2.5999999
19,1,0,0,0,17,2.8599999
18,1,1,1,0,85,2.0999999
19,1,1,1,0,48,2.5799999
18,0,1,0,0,68,2.5
19,1,0,1,0,43,2.4400001
18,0,1,1,0,65,3.5799999
20,0,1,1,0,27,.78000003
19,0,1,1,0,16,.78000003
19,1,0,0,0,8,2.3299999
18,1,1,1,0,41,1.63
19,1,1,0,0,15,2.5
18,1,0,1,0,54,2.21
19,1,1,0,0,71,3.45
19,0,1,0,0,28,2.1500001
20,0,0,0,0,8,.52999997
19,0,1,1,0,35,2.2
18,0,1,0,0,27,1.4299999
19,0,0,1,0,36,2.3599999
20,0,1,1,0,72,2.7
19,0,1,1,0,58,1.9300001
19,1,1,0,0,78,3.1299999
19,1,1,0,0,19,3.28
18,0,0,0,0,19,1.63
19,1,1,1,0,32,1.77
19,1,0,1,0,27,3.1599998
18,0,1,1,0,51,3.04
21,0,1,0,0,6,2.4300001
19,1,1,0,0,48,2.6900001
19,0,1,0,0,5,.1
19,0,0,1,0,43,1.77
19,0,1,0,0,3,2.03
19,1,1,0,0,100,4
18,0,1,1,0,72,3.26
19,0,1,1,0,58,2.9400001
18,0,0,0,0,84,2.9300001
19,1,1,0,0,64,2.1800001
19,1,1,1,0,5,1.4400001
19,1,1,1,0,25,2.25
18,0,1,1,0,63,2.5999999
19,1,0,0,0,66,2.3499999
19,0,1,0,0,27,2.5799999
19,1,0,0,0,28,2.45
19,1,0,0,0,80,2.4400001
18,1,1,1,0,94,3.8799999
19,1,0,1,0,20,2.6399999
19,0,1,0,0,1,1.78
19,1,1,0,0,41,2.54
18,1,1,0,0,55,3.5799999
21,1,1,1,0,96,3.9499998
19,0,1,1,0,28,1.28
19,1,1,1,0,14,1.84
19,0,0,0,0,12,1.6900001
18,0,1,0,0,22,2.1400001
18,1,1,0,0,81,3.5
20,0,1,0,0,60,3
19,0,0,0,0,19,3.2
18,1,1,1,0,22,2.5
19,0,1,1,0,18,1.13
19,1,0,0,0,34,3.0899999
19,1,1,0,0,27,2.5599999
19,0,1,0,0,57,2.25
18,1,1,0,0,42,2.72
19,0,1,1,0,5,1.53
19,1,0,1,1,9,3.1099999
20,1,1,0,0,91,3.8499999
18,0,0,0,0,57,1.3200001
19,0,0,1,0,22,.96000004
18,0,1,1,1,19,1.9300001
18,0,0,0,0,74,3.2
19,1,1,1,1,48,3.3999999
18,0,1,1,0,94,4
19,1,1,1,0,81,2.7
19,0,1,0,0,3,2.8299999
19,1,1,0,0,50,3.03
18,0,1,1,0,62,1.8200001
17,1,0,0,0,40,3
19,0,0,0,0,14,2.28
17,1,1,0,0,28,3.45
18,1,1,0,0,82,2.6499999
18,0,0,0,0,7,3.1900001
19,0,1,0,1,97,3.7199998
19,0,0,1,0,34,2.1800001
19,1,0,0,0,99,3.7199998
19,0,1,0,0,33,1.38
20,1,0,1,0,44,3.9399998
19,0,1,1,1,100,3.9199998
19,1,1,0,0,42,3.0799999
19,0,1,0,0,72,1.34
18,1,1,1,0,24,2.77
19,1,1,0,0,28,2.7
19,0,1,1,1,78,2.5999999
18,0,1,0,0,44,3.1199999
19,0,0,1,0,57,3.73
18,1,1,1,0,27,2.4400001
19,0,0,0,0,74,2.6700001
19,1,1,0,0,57,3.0999999
18,0,1,0,0,69,2.7
18,1,0,0,0,90,3.7199998
19,0,1,0,0,57,3.5999999
21,0,0,1,0,89,3.1199999
19,0,1,0,0,45,2.7
18,0,0,1,0,35,.22999999
19,0,1,1,0,4,1.3100001
19,0,1,1,0,15,2.1800001
19,1,1,0,0,48,2.04
17,0,1,0,0,91,3.5599999
19,0,0,0,0,9,2.3
18,0,1,1,0,7,2.3499999
19,0,1,1,0,37,1.3100001
19,1,1,1,0,57,2.8099999
19,1,1,0,0,60,3.1599998
18,0,1,1,0,15,1.65
19,0,0,1,0,50,1.9300001
19,0,0,0,0,14,1.78
20,0,0,1,0,22,2.26
19,0,1,0,0,36,2.8999999
19,0,0,0,1,12,.91000003
19,0,1,0,0,86,2.0799999
20,1,0,0,0,56,1.6
19,0,1,1,0,10,1.84
18,0,0,0,0,79,2.5799999
19,0,1,1,0,37,1.35
19,0,1,0,0,65,2.02
19,0,1,0,0,52,2.0799999
19,1,1,1,0,17,2.5999999
18,0,0,1,0,24,1.63
17,0,1,1,0,11,.25999996
18,0,1,0,0,8,1.88
19,1,1,0,0,95,3.52
18,0,1,0,0,30,2.8499999
19,0,0,1,1,7,1.95
19,0,1,0,0,36,3.4300001
19,1,1,0,0,49,1.45
20,0,1,0,0,1,.57000005
19,0,0,1,0,35,.61000001
19,1,1,0,0,62,2.98
19,0,1,1,0,18,2.04
19,0,1,0,0,68,3.25
18,1,1,0,0,96,3.53
19,0,1,0,1,45,2.04
19,0,0,1,0,19,2.1400001
18,0,1,1,0,75,.21000001
19,0,1,0,0,71,2.3299999
18,1,0,0,0,97,4
19,1,1,0,0,38,2.3399999
19,1,1,0,0,61,2.47
19,1,1,0,0,53,3.1499999
19,0,0,1,0,32,2.6299999
19,1,1,0,0,37,3.1900001
19,1,1,0,0,68,2.5599999
19,0,0,0,0,52,3.1299999
19,1,1,0,0,6,1.14
17,1,0,0,0,58,2.01
18,0,1,0,0,5,1.11
19,1,1,0,0,81,3.8599999
19,1,1,1,0,85,2.7
19,0,0,0,0,16,1.96
19,1,1,0,0,87,2.8199999
19,1,1,1,1,53,3.1599998
19,1,1,0,0,75,2.96
19,0,1,1,0,85,3.51
19,0,1,1,0,65,3.3699999
19,0,1,1,0,81,2.5899999
20,1,0,1,0,6,1.24
18,1,1,1,0,85,3.9199998
18,0,1,1,0,85,2.8799999
19,1,0,0,0,10,2.9300001
20,1,1,0,0,90,3.0999999
20,1,1,0,0,2,1.83
